Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions
ABQ,2004,242,235,71,46
ABQ,2005,221,190,61,33
ABQ,2006,392,329,71,124
ABQ,2007,366,304,107,45
ABQ,2008,333,300,79,42
ABQ,2009,192,162,74,26
ABQ,2010,222,177,71,50
ABQ,2011,345,294,77,61
ABQ,2012,237,181,65,60
ABQ,2013,232,212,62,46
ABQ,2014,315,274,66,37
ANC,2004,473,532,73,30
ANC,2005,424,484,74,31
ANC,2006,367,436,88,50
ANC,2007,359,423,93,54
ANC,2008,268,355,97,57
ANC,2009,354,421,84,80
ANC,2010,149,204,84,32
ANC,2011,191,265,87,36
ANC,2012,216,284,78,36
ANC,2013,141,184,65,40
ANC,2014,111,162,74,28
ATL,2004,7870,8433,737,772
ATL,2005,13837,14480,790,1080
ATL,2006,6624,7301,913,787
ATL,2007,6796,7790,920,1045
ATL,2008,5830,6705,982,1072
ATL,2009,5324,6303,1064,1116
ATL,2010,8198,9279,971,945
ATL,2011,6555,7484,903,812
ATL,2012,2259,2782,798,655
ATL,2013,2916,3450,870,655
ATL,2014,5977,6483,781,655
AUS,2004,477,436,53,40
AUS,2005,435,411,57,76
AUS,2006,440,387,82,51
AUS,2007,827,773,116,114
AUS,2008,732,688,95,86
AUS,2009,298,261,72,69
AUS,2010,356,307,74,67
AUS,2011,425,399,102,30
AUS,2012,353,323,80,60
AUS,2013,390,318,84,80
AUS,2014,484,435,88,97
BDL,2004,426,368,70,26
BDL,2005,719,669,74,32
BDL,2006,561,486,78,34
BDL,2007,757,685,82,40
BDL,2008,587,499,74,80
BDL,2009,347,314,79,52
BDL,2010,466,425,71,35
BDL,2011,614,554,54,35
BDL,2012,295,257,48,26
BDL,2013,364,331,45,17
BDL,2014,467,421,57,32
BHM,2004,402,332,71,24
BHM,2005,419,395,63,25
BHM,2006,287,257,53,30
BHM,2007,459,371,59,23
BHM,2008,385,341,58,42
BHM,2009,249,209,61,64
BHM,2010,315,266,60,55
BHM,2011,266,243,42,55
BHM,2012,147,143,31,18
BHM,2013,203,186,50,52
BHM,2014,336,311,46,30
BNA,2004,752,723,163,49
BNA,2005,706,642,138,84
BNA,2006,739,712,187,87
BNA,2007,973,931,163,82
BNA,2008,791,743,169,58
BNA,2009,573,496,132,78
BNA,2010,886,830,137,98
BNA,2011,795,772,140,79
BNA,2012,579,527,100,89
BNA,2013,870,775,157,71
BNA,2014,1266,1222,152,60
BOS,2004,3332,3343,269,127
BOS,2005,4199,4155,266,185
BOS,2006,3359,3302,377,142
BOS,2007,4379,4257,268,192
BOS,2008,3655,3601,354,183
BOS,2009,2891,2838,284,126
BOS,2010,3071,3035,275,137
BOS,2011,3621,3633,320,113
BOS,2012,1498,1523,215,79
BOS,2013,1640,1633,275,148
BOS,2014,2316,2330,349,121
BUF,2004,514,435,40,46
BUF,2005,456,416,41,35
BUF,2006,559,489,87,37
BUF,2007,689,622,54,46
BUF,2008,611,539,60,37
BUF,2009,344,301,38,45
BUF,2010,483,421,46,33
BUF,2011,387,362,45,27
BUF,2012,330,298,35,36
BUF,2013,422,356,27,21
BUF,2014,612,562,46,27
BUR,2004,263,260,98,23
BUR,2005,285,235,110,19
BUR,2006,427,400,217,69
BUR,2007,517,477,288,34
BUR,2008,535,507,141,56
BUR,2009,412,390,115,47
BUR,2010,465,444,124,46
BUR,2011,493,426,76,66
BUR,2012,488,456,33,40
BUR,2013,399,386,30,8
BUR,2014,427,403,36,39
BWI,2004,1186,1093,162,176
BWI,2005,1407,1313,153,150
BWI,2006,1127,1057,165,172
BWI,2007,1759,1614,154,162
BWI,2008,1002,964,206,128
BWI,2009,1042,970,206,172
BWI,2010,2282,2180,203,229
BWI,2011,1567,1418,177,310
BWI,2012,1511,1400,151,296
BWI,2013,954,878,145,208
BWI,2014,1588,1549,213,181
CLE,2004,1438,1498,173,131
CLE,2005,1207,1216,158,152
CLE,2006,1116,1114,182,164
CLE,2007,1427,1422,182,125
CLE,2008,1359,1306,178,156
CLE,2009,628,578,131,90
CLE,2010,801,809,117,55
CLE,2011,1022,1010,116,69
CLE,2012,654,666,98,57
CLE,2013,759,762,117,54
CLE,2014,1282,1280,124,74
CLT,2004,1519,1593,178,132
CLT,2005,1715,1881,196,165
CLT,2006,1569,1742,283,204
CLT,2007,2170,2406,288,131
CLT,2008,1986,2227,277,254
CLT,2009,1149,1331,254,165
CLT,2010,1616,1790,217,175
CLT,2011,2230,2505,242,290
CLT,2012,1097,1342,194,174
CLT,2013,1701,1968,260,159
CLT,2014,1925,2145,163,214
CVG,2004,5656,7136,319,320
CVG,2005,4606,5803,350,256
CVG,2006,1816,2359,296,236
CVG,2007,2415,2908,249,153
CVG,2008,1853,2144,205,158
