airport,year,departures,arrivals,on_time_gate_departures,on_time_airport_departures,on_time_gate_arrivals,average_gate_departure_delay,average_taxi_out_time,average_taxi_out_delay,average_airport_departure_delay,average_airborne_delay,average_taxi_in_delay,average_block_delay,average_gate_arrival_delay,departure_cancellations,arrival_cancellations,departure_diversions,arrival_diversions
GYY,2004,261,259,0.5556,0.5939,0.5985,22.3,9.11,0.0,21.11,4.83,0.0,4.07,22.46,,,,
GYY,2005,796,802,0.6055,0.6256,0.5324,17.7,9.4,0.05,16.83,3.04,0.01,3.24,24.43,,,,
GYY,2006,435,433,0.5425,0.5494,0.5104,20.28,10.23,0.05,19.94,4.99,0.0,4.99,25.06,,,,
GYY,2007,703,691,0.5889,0.5875,0.5253,22.39,11.03,0.06,22.42,4.41,0.0,4.58,23.96,,,,
GYY,2008,425,446,0.6094,0.6071,0.5852,21.96,11.15,0.09,22.02,3.44,0.0,3.47,20.1,,,,
GYY,2009,367,356,0.5232,0.5313,0.4972,25.3,11.11,0.07,25.27,4.23,0.0,3.9,25.58,,,,
GYY,2010,432,444,0.4907,0.4907,0.4932,27.3,11.16,0.11,27.41,3.84,0.0,3.44,24.7,,,,
GYY,2011,499,530,0.6012,0.5972,0.5736,19.05,11.13,0.09,19.18,3.47,0.0,2.57,22.69,,,,
GYY,2012,716,738,0.6131,0.6103,0.584,21.06,11.12,0.09,21.26,3.3,0.0,2.72,21.5,,,,
GYY,2013,519,540,0.5511,0.5472,0.6704,23.26,11.29,0.24,23.91,2.64,0.0,2.89,15.17,,,,
GYY,2014,729,752,0.5857,0.561,0.5505,22.02,11.57,0.33,22.93,3.12,0.0,3.59,23.08,,,,
OXR,2011,360,486,0.7389,0.6833,0.7469,13.05,8.91,1.86,14.96,2.32,1.1,2.88,16.2,,,,
OXR,2012,485,559,0.7608,0.7443,0.7871,10.07,9.76,1.54,11.67,1.59,0.79,2.1,13.88,,,,
OXR,2013,531,610,0.8606,0.855,0.8344,6.59,11.17,0.14,6.76,1.23,0.0,1.56,7.49,,,,
OXR,2014,530,639,0.834,0.8283,0.82,7.76,11.26,0.15,8.01,1.03,0.0,1.23,9.44,,,,
RFD,2004,1946,1935,0.6912,0.6598,0.7907,13.2,7.04,1.78,14.5,2.27,0.81,3.6,11.39,,,,
RFD,2005,7951,7856,0.7536,0.7214,0.7514,11.31,7.57,2.21,12.7,1.64,0.62,3.16,12.01,,,,
RFD,2009,6156,6016,0.7854,0.7508,0.7947,10.58,7.81,1.65,12.11,1.79,0.25,3.06,10.21,,,,
RFD,2010,5439,5401,0.7404,0.7038,0.7413,12.72,8.63,2.12,14.79,1.77,0.38,2.55,12.28,,,,
RFD,2014,4500,4481,0.7836,0.7702,0.8076,11.21,11.34,0.27,11.79,2.18,0.0,2.64,11.05,,,,
TEB,2004,28711,28964,0.2889,0.3104,0.38,38.41,9.11,0.0,36.89,6.28,0.0,6.09,31.14,,,,
TEB,2005,29219,29332,0.2945,0.2885,0.3495,37.84,9.44,0.54,38.3,6.23,0.26,7.44,34.28,,,,
TEB,2006,29286,29520,0.3088,0.3151,0.3598,37.94,10.33,0.05,37.47,5.67,0.0,6.05,32.7,,,,
TEB,2007,30326,30630,0.2956,0.2951,0.3583,39.86,11.05,0.08,39.9,5.9,0.01,6.58,33.33,,,,
TEB,2008,26049,25870,0.2786,0.2774,0.3611,38.56,11.2,0.14,38.69,5.69,0.0,6.21,33.41,,,,
TEB,2009,20989,20866,0.2467,0.2457,0.3979,40.8,11.15,0.1,40.87,5.22,0.0,5.12,31.05,,,,
TEB,2010,22793,22898,0.2786,0.2767,0.3791,38.17,11.2,0.14,38.31,5.26,0.0,5.15,31.97,,,,
TEB,2011,24396,24798,0.3185,0.317,0.3982,35.25,11.16,0.11,35.4,5.39,0.0,5.05,30.94,,,,
TEB,2012,24396,24778,0.3328,0.3286,0.4084,34.13,11.18,0.13,34.41,4.78,0.0,4.53,30.07,,,,
TEB,2013,28656,28748,0.326,0.315,0.399,34.93,11.48,0.4,35.84,4.44,0.0,5.24,30.95,,,,
TEB,2014,29836,29781,0.327,0.3121,0.4065,35.26,11.73,0.43,36.4,5.15,0.0,6.19,31.38,,,,
VNY,2004,1331,1301,0.29,0.3178,0.392,35.15,9.2,0.0,33.65,3.71,0.0,3.33,32.86,,,,
VNY,2005,5235,5169,0.293,0.2835,0.3562,33.75,9.55,0.53,34.27,3.73,0.27,4.64,34.5,,,,
VNY,2006,6142,6112,0.3097,0.3167,0.3724,32.83,10.33,0.05,32.34,3.32,0.0,3.81,32.3,,,,
VNY,2007,6179,6349,0.2936,0.2921,0.3853,34.96,11.06,0.09,35.01,3.22,0.01,3.91,32.42,,,,
VNY,2008,4282,4469,0.2756,0.2723,0.3571,34.45,11.24,0.16,34.63,4.86,0.0,5.21,34.18,,,,
VNY,2009,2986,3005,0.2971,0.2954,0.3241,33.86,11.15,0.1,33.95,5.14,0.0,5.02,34.88,,,,
VNY,2010,3420,3500,0.3023,0.3018,0.3394,33.63,11.22,0.15,33.8,4.76,0.0,4.77,34.37,,,,
VNY,2011,4134,4134,0.3474,0.3454,0.3752,30.96,11.17,0.12,31.12,4.69,0.0,4.59,30.91,,,,
VNY,2012,4753,4787,0.3909,0.3859,0.4299,28.5,11.2,0.14,28.81,3.57,0.0,3.84,28.42,,,,
VNY,2013,6096,6165,0.3924,0.3778,0.4513,28.61,11.48,0.4,29.53,2.15,0.0,2.91,27.79,,,,
VNY,2014,7412,7573,0.4014,0.3841,0.4507,28.87,11.7,0.4,29.96,2.92,0.0,3.89,28.97,,,,
ABQ,2004,53971,53818,0.803,0.7809,0.7921,10.38,9.89,2.43,12.1,2.46,0.83,2.55,10.87,242.0,235.0,71.0,46.0
