Year,Artist,Track,Week,Rank
2000,2 Pac,Baby Don't Cry (Keep,1 ,87
2000,2 Pac,Baby Don't Cry (Keep,2 ,82
2000,2 Pac,Baby Don't Cry (Keep,3 ,72
2000,2 Pac,Baby Don't Cry (Keep,4 ,77
2000,2 Pac,Baby Don't Cry (Keep,5 ,87
2000,2 Pac,Baby Don't Cry (Keep,6 ,94
2000,2 Pac,Baby Don't Cry (Keep,7 ,99
2000,2Ge+her,The Hardest Part Of ,1 ,91
2000,2Ge+her,The Hardest Part Of ,2 ,87
2000,2Ge+her,The Hardest Part Of ,3 ,92
2000,3 Doors Down,Kryptonite,1 ,81
2000,3 Doors Down,Kryptonite,10 ,51
2000,3 Doors Down,Kryptonite,11 ,51
2000,3 Doors Down,Kryptonite,12 ,51
2000,3 Doors Down,Kryptonite,13 ,47
2000,3 Doors Down,Kryptonite,14 ,44
2000,3 Doors Down,Kryptonite,15 ,38
2000,3 Doors Down,Kryptonite,16 ,28
2000,3 Doors Down,Kryptonite,17 ,22
2000,3 Doors Down,Kryptonite,18 ,18
2000,3 Doors Down,Kryptonite,19 ,18
2000,3 Doors Down,Kryptonite,2 ,70
2000,3 Doors Down,Kryptonite,20 ,14
2000,3 Doors Down,Kryptonite,21 ,12
2000,3 Doors Down,Kryptonite,22 ,7
2000,3 Doors Down,Kryptonite,23 ,6
2000,3 Doors Down,Kryptonite,24 ,6
2000,3 Doors Down,Kryptonite,25 ,6
2000,3 Doors Down,Kryptonite,26 ,5
2000,3 Doors Down,Kryptonite,27 ,5
2000,3 Doors Down,Kryptonite,28 ,4
2000,3 Doors Down,Kryptonite,29 ,4
2000,3 Doors Down,Kryptonite,3 ,68
2000,3 Doors Down,Kryptonite,30 ,4
2000,3 Doors Down,Kryptonite,31 ,4
2000,3 Doors Down,Kryptonite,32 ,3
2000,3 Doors Down,Kryptonite,33 ,3
2000,3 Doors Down,Kryptonite,34 ,3
2000,3 Doors Down,Kryptonite,35 ,4
2000,3 Doors Down,Kryptonite,36 ,5
2000,3 Doors Down,Kryptonite,37 ,5
2000,3 Doors Down,Kryptonite,38 ,9
2000,3 Doors Down,Kryptonite,39 ,9
2000,3 Doors Down,Kryptonite,4 ,67
2000,3 Doors Down,Kryptonite,40 ,15
2000,3 Doors Down,Kryptonite,41 ,14
2000,3 Doors Down,Kryptonite,42 ,13
2000,3 Doors Down,Kryptonite,43 ,14
2000,3 Doors Down,Kryptonite,44 ,16
2000,3 Doors Down,Kryptonite,45 ,17
2000,3 Doors Down,Kryptonite,46 ,21
2000,3 Doors Down,Kryptonite,47 ,22
2000,3 Doors Down,Kryptonite,48 ,24
2000,3 Doors Down,Kryptonite,49 ,28
2000,3 Doors Down,Kryptonite,5 ,66
2000,3 Doors Down,Kryptonite,50 ,33
2000,3 Doors Down,Kryptonite,51 ,42
2000,3 Doors Down,Kryptonite,52 ,42
2000,3 Doors Down,Kryptonite,53 ,49
2000,3 Doors Down,Kryptonite,6 ,57
2000,3 Doors Down,Kryptonite,7 ,54
2000,3 Doors Down,Kryptonite,8 ,53
2000,3 Doors Down,Kryptonite,9 ,51
2000,3 Doors Down,Loser,1 ,76
2000,3 Doors Down,Loser,10 ,61
2000,3 Doors Down,Loser,11 ,61
2000,3 Doors Down,Loser,12 ,59
2000,3 Doors Down,Loser,13 ,61
2000,3 Doors Down,Loser,14 ,66
2000,3 Doors Down,Loser,15 ,72
2000,3 Doors Down,Loser,16 ,76
2000,3 Doors Down,Loser,17 ,75
