title,rating,year,best,hope,love,beautiful,great,excellent,amazing,groundbreaking
The Shawshank Redemption,9.3,1994,1,1,1,1,1,1,1,0
The Godfather,9.2,1972,1,1,1,1,1,1,1,0
The Godfather: Part II,9.0,1974,1,0,1,1,1,1,1,0
The Dark Knight,9.0,2008,1,1,1,1,1,1,1,0
Pulp Fiction,8.9,1994,1,1,1,0,1,1,1,0
The Lord of the Rings: The Return of the King,8.9,2003,1,1,1,1,1,1,1,0
"The Good, the Bad and the Ugly",8.9,1966,1,1,1,1,1,1,1,0
12 Angry Men,8.9,1957,1,1,1,1,1,1,1,0
Schindler's List,8.9,1993,1,1,1,1,1,1,1,0
Fight Club,8.8,1999,1,1,1,0,1,1,1,0
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,1,1,1,1,1,1,1,1
Star Wars: Episode V - The Empire Strikes Back,8.8,1980,1,1,1,1,1,1,1,1
Forrest Gump,8.8,1994,1,1,1,1,1,1,1,0
Inception,8.8,2010,1,1,1,1,1,1,1,1
Seven Samurai,8.7,1954,1,1,1,1,1,1,1,0
City of God,8.7,2002,1,1,1,1,1,1,1,0
Star Wars: Episode IV - A New Hope,8.7,1977,1,1,1,1,1,1,1,1
The Lord of the Rings: The Two Towers,8.7,2002,1,1,1,1,1,1,1,0
The Matrix,8.7,1999,1,0,1,1,1,1,1,0
Goodfellas,8.7,1990,1,0,1,1,1,1,1,0
One Flew Over the Cuckoo's Nest,8.7,1975,1,1,1,1,1,1,1,0
Modern Times,8.6,1936,1,1,1,1,1,1,1,0
The Intouchables,8.6,2011,1,1,1,1,1,0,1,0
Saving Private Ryan,8.6,1998,1,1,1,1,1,1,1,0
City Lights,8.6,1931,1,1,1,1,1,1,1,0
