,city,company,salary,summary,title
0,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
1,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
2,San+Francisco,Komodo Health,,"Experience working with proprietary secondary data including medical / pharmacy claims, prescription data, sales data, and longitudinal patient-level data....",Data Scientist
3,San+Francisco,Quizlet,,Communicating and evangelizing data insights with the team. A solid academic understanding of math and data fundamentals....,Data Scientist
4,San+Francisco,Ayasdi,,"Data management and data extraction skills; Role As a Data Scientist at Ayasdi, you will be solving some of the most complex problems with the most...",Data Scientist (Healthcare)
5,San+Francisco,Airbnb,,Work with data scientists to develop a scalable data visualization platform. Help data scientists optimize productionized Pig and Hive queries....,Data Engineer
6,San+Francisco,Pinterest,,Experience with web scale data and big data systems (e.g. We’re looking for a data scientist to help us connect Pinners to Pins they’ll love....,"Data Scientist, Discovery Science"
7,San+Francisco,"Amazon Web Services, Inc.",,Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?...,Data Scientist
8,San+Francisco,Pinterest,,"Experience with web scale data and big data systems (e.g. You'll make use of the latest advances in large scale data processing, machine learning, and data...","Data Scientist, Analytics"
9,San+Francisco,Gap Inc.,,"The Senior Data Scientist, Customer Data Science, delivers dedicated customer profiling and segmentation, statistical modeling and machine learning algorithms,...","Senior Data Scientist, Customer Data Science"
10,San+Francisco,The Nielsen Company,,"The data scientist will work with Product, Engineering, and Development teams to ensure data quality and a sound product methodology....",Data Scientist
11,San+Francisco,Arka,,"Implementing, testing, and proving out Big Data tools and patterns for analytic workloads – in-memory architectures, streaming workflows, event-sourced and...",Sr. Data Scientist
12,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
13,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
14,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
15,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
16,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
17,San+Francisco,First Republic Bank,,"Perform other ad-hoc data analysis including business intelligence on customer behaviors, general business support through data collection and processing....","Quantitative Analyst, Finance"
18,San+Francisco,Udemy,,Experience in performing data analysis or building data pipelines in Python. Experience in complex data modeling and application of machine learning algorithms....,Senior Data Scientist
19,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
20,San+Francisco,Adroit resources,,Scale new algorithms to large data sets. Train algorithms to apply models to new data sets. Provides and supports the implementation of business solutions....,Data Scientist
21,San+Francisco,Bugcrowd,,"As a data scientist in a small team of engineers, you’ll have the chance to pitch ideas, do R&D, and to own data products that will change the course of our...",Data Scientist
22,San+Francisco,MarkMonitor,"$180,000 a year","Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",Data Scientist
23,San+Francisco,Demandbase,,"As the Senior Data Scientist, you’ll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract...",Senior Data Scientist
24,San+Francisco,"Grammarly, Inc.",,"Grammarly is looking for a hands-on data scientist. Collaborate with the data engineering team to expand data coverage, compute new metrics, and continually...",Data Scientist
25,San+Francisco,Hampton Creek Foods,,"You’ll join a multi-disciplinary team of biochemists, food scientists, materials scientists, computational biologists, process engineers, and data engineers, in...",Machine Learning Scientist
26,San+Francisco,ZestFinance,,"Knowledge of data structures and parallelization. Experience with large scale data storage and analysis (e.g., Spark, MapReduce) is a plus....",Sr. Machine Learning Modeler / Data Scientist
27,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
28,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
29,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
30,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
31,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
32,San+Francisco,Cloudmellow,,"Senior Data Engineer, Advanced Analytics Focus -- Analytic Data EngineeringThe Analytic Data Engineering team at client is responsible for building systems and...","Data Scientists,San Francisco, CA"
33,San+Francisco,DCM Data Systems,,Mid level candidate. With banking experience/Financial domain. HDFS knowledge Statistical modeling using R or Python Worked on Packages Text mining and,Data Scientist
34,San+Francisco,DocuSign,,Senior Data Scientist - Product Engineering. Increase transparency and visibility building key data sets. Strong experience with SQL for data extraction and ETL...,Senior Data Scientist
35,San+Francisco,Mines.io,"$80,000 - $120,000 a year",We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,Full-Stack Data Scientist
36,San+Francisco,Code for America,,"What does a successful data scientist do? As a data scientist, here are some of the core competencies we’ve identified (valuable but not required):....",2017 Code for America Fellow- Data Scientist
37,San+Francisco,The Climate Corporation,,"Build and maintain the core data model, ETL/ELT, core data metrics and data quality. We are looking for a Data Engineer to not only build data pipelines to...",Data Engineer
38,San+Francisco,MsgAI,,"Data Scientist / Machine Learning / Deep Learning / NLP full time position in Palo Alto. As a Data Scientist, you will collaborate closely with developers and...",Data Scientist / Machine Learning / Deep Learning / NLP
39,San+Francisco,Affirm,,Do you love making data driven decisions? The group is tasked with deriving insights from our data to inform the future of our products and marketing....,"Data Scientist, Analytics"
40,San+Francisco,Marlette Funding,,"This individual will also support the company in search of relevant big data to be obtained, along with the required technology solutions including data...",Data Scientist
41,San+Francisco,The Climate Corporation,,Experience implementing algorithms on big data is a plus. We communicate our research results with other scientists and people in the company....,Quantitative Researcher - Machine Learning
42,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
43,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
44,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
45,San+Francisco,Sensentia,,"Several years of experience as software developer, researcher, scientist or technical lead. This is an exciting opportunity for software developers and computer...",SW developers Computational Comprehension/ Machine Reasoning...
46,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
47,San+Francisco,Uber,,The adversarial problems we solve are amongst the toughest challenges a data scientist can encounter. The Fraud and Security Data Science Team is responsible...,Data Scientist - Fraud and Security
48,San+Francisco,Grit Matters,,"An experienced machine learning engineer looking to join a team formulating, designing and implementing unique machine learning algorithms for distinctive",Machine Learning Engineer
49,San+Francisco,Rubicon Project,,"Rubicon Project is looking for talented, passionate, experienced, and entrepreneurial Data Scientist. Expertise in machine learning, data mining, predictive...",Senior Data Scientist
50,San+Francisco,Ripple,,"We are seeking our first Data Scientist. Apply your expertise in quantitative analysis, data mining and data visualization to understand how our users interact...",Data Scientist
51,San+Francisco,SigFig,,"SigFig is searching for a curious, driven, and skillful data scientist to drive change and fuel the performance of the company. What you'll be doing:....",Data Scientist
52,San+Francisco,Esurance,,Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....,Senior Data Scientist
53,San+Francisco,Lyra Health,,"We believe that better data is a critical part of the solution, and we’re looking for econometricians and/or health services researchers to join our team of...",Econometric Data Scientist
54,San+Francisco,Color Genomics,,"We are looking for a motivated, proactive data scientist who will have a strong impact in one or more areas such as helping Color reach a broader market,...",Data Scientist
55,San+Francisco,Unity Technologies,,Senior Data Scientist. PhD level data scientists to work with. Data Scientist - by experience and by education....,Senior Data Scientist
56,San+Francisco,Pocket Gems,,"As a data scientist, you will combine your strategic and analytical skill sets to develop, test, and analyze hypotheses that will have a far-reaching impact on...","Data Scientist, Episode"
57,San+Francisco,Walmart eCommerce,,"We are Big Data Engineers, Data Analysts, Data Scientists and Applications Engineers, working in small groups to solve sophisticated and impactful problems....",Smart Pricing Data Analyst
58,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
59,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
60,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
61,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
62,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
63,San+Francisco,Thomson Reuters,,"Thomson Reuters is Hiring Data Scientists and Data Engineers !! In addition, you will assess and validate the reliability of source data and business systems...",All Levels Data Scientist & Data Engineer Opportunity
64,San+Francisco,Yelp,,Endless ideas about how to leverage Yelp's unique data set. You will help us use that data to connect our users with great local businesses....,Data Scientist
65,San+Francisco,Fitbit,,"Experience validating sensor performance including human data collections when necessary. Programming, data analysis and scientific computation preferred...","Research Scientist, Biosensors"
66,San+Francisco,Hired,,Hired is looking for a Senior Data Scientist to be the first member of our data science and relevance team to build new products using machine learning...,Senior Data Scientist
67,San+Francisco,AstraZeneca,,"Data Visualisation techniques (Gephi, D3, R). To help drive the CTO Office's mission, we are looking to hire an experienced Data Scientist for the Redwood...",Data Scientist
68,San+Francisco,Lyra Health,,"We believe that better data is a critical part of the solution, and we’re looking for Data Scientists and Data Engineers to join our team of data, engineering,...",Data Scientist / Engineer
69,San+Francisco,Lyft Corporate,,"Because of the realtime marketplace that we have created, our data scientists are working on some truly fun and exciting optimization problems that we'd love...",Data Scientist
70,San+Francisco,Workbridge Associates,"$125,000 - $135,000 a year","Experience with big data stack technologies, such as Hadoop or Spark. Strong skills in machine learning will be implemented to process and analyze this data....",Mid-Level Data Scientist
71,San+Francisco,SigFig,,"We are looking for an investments analyst to join our research and investment product team. You have a broad skill set, comfortable in analyzing globally",Quantitative Research Analyst
72,San+Francisco,Teespring,,"The Data team is composed of analysts, data scientists and engineers who are responsible for core data collections and application....",Business Intelligence Analyst
73,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
74,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
75,San+Francisco,Walmart eCommerce,,"Staying current on published data mining, machine learning and modeling techniques and competing technologies and sharing these findings with scientists and...",Machine Learning Scientist
76,San+Francisco,Collabera,,Pull data from Teradata or oracle. 3-5 years of exp in handling large data set. SAS and SQL are primary skill....,Data Scientist
77,San+Francisco,Scribd,,Create pipelines that transform raw application data into actionable business data. About the Data Team. 2-5+ years of professional experience in data analytics...,Data Scientist
78,San+Francisco,Visa,,"New Grad - Research Scientist – Data Analytics. Expertise in data analytics, data mining, machine learning, and related fields....",New Grad - Research Scientist – Data Analytics Job
79,San+Francisco,Pacific Gas and Electric,,"The Principal Data Scientist will specifically be responsible for:. Also GIS, spatial data as well as data modeled by graphs, graph databases....",Principal Data Scientist
80,San+Francisco,Glassdoor,,Mentor a team of data scientists and ML engineers. Hands-on experience analyzing large data sets - how do you define big data?...,Principal Data Scientist
81,San+Francisco,Workbridge Associates,"$150,000 - $180,000 a year","The Data Scientist will have an opportunity to work on huge data sets. Pulling data from data warehouse, massaging data, inspecting validation processes,...",Data Scientist
82,San+Francisco,Boxed,,Grow as an data scientist. There is a tremendous amount of things happening across our platforms and we are looking for a seasoned Data Scientist to leverage...,Senior Data Scientist
83,San+Francisco,Thomson Reuters,,Explores existing data for insights and recommends additional sources of data for improvements. Ability to test ideas and adapt methods quickly end to end from...,Data Scientist
84,San+Francisco,Clover Health,,Acquire and bring structure to data so that it can be used in our data systems and data apps. Build tools that help you and the other Data Scientists translate...,Data Scientist (Platform)
85,San+Francisco,Google,,"As a Data Scientist, you should be experienced with and passionate about using data to drive strategy and product recommendations....","Data Scientist / Quantitative Analyst, YouTube"
86,San+Francisco,Nurix,,"Present data in standard, meaningful ways incorporating an assessment of the quality of the data and comparisons among methods, data sets, and conditions so...","Data Analyst Scientist, Informatics"
87,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
88,San+Francisco,Roche,,The Scientist is typically the lead representative on cross-functional real-world data analysis teams. Good understanding of research and commercial real-world...,Data Scientist (Epidemiology & Health Economics Focus)
89,San+Francisco,Workday,,Work with product managers to formulate the data analytics problem. Join our team and experience Workday!...,Data Scientist
90,San+Francisco,Sensentia,,"Several years of experience as software developer, researcher, scientist or technical lead. This is an exciting opportunity for software developers and computer...",SW developers Computational Comprehension/ Machine Reasoning...
91,San+Francisco,Walmart eCommerce,,"As a Data Scientist you will play a unique role in driving the future of the next generation supply chain by researching, designing and implementing cutting...",Data Scientist
92,San+Francisco,Salesforce,,"Senior Manager, Data Scientist. The Senior Manager, Data Scientist is responsible for translating data, both structured and unstructured, into compelling...","Senior Manager, Data Scientist"
93,San+Francisco,Clover Health,,"Build tools that help you and the other Data Scientists translate insights into action at scale. A love of building out useful data, and not just analyzing...",Data Scientist (Product)
94,San+Francisco,Nexant,,Projects commonly involve the analysis of hourly energy consumption data for hundreds of thousands (if not millions) of utility customers....,Analyst I – Quantitative/Statistical
95,San+Francisco,Storm8,,"5+ years of work experience, preferably as data scientist or in highly analytical role. 3-5 years of work experience, preferably as a data scientist or in...",Senior Data Scientist
