city,company,salary,summary,title
Chicago,Parallel Partners,,"Analyze financial market data to identify patterns and potential problems. Chicago IL Jobs, Junior Quantitative Research Analyst, C++, Math, Financial, Chicago...",Junior Quantitative Research Analyst - MS062161
Chicago,CVS Health,,"Accessing data, constructing and manipulating large datasets to support planned analyses, using SAS, SQL and similar tools....","Predictive Modeling, Strategic Analytics"
Chicago,Next Step Systems,,"Analyze financial market data to identify patterns and potential problems. Chicago IL Jobs, Junior Quantitative Research Analyst, C++, Math, Financial, Chicago...",Junior Quantitative Research Analyst
Chicago,BMW Technology Corporation,,Carry out the research on context data intelligence that will impact the research communities around data and computing....,Machine Learning Researcher - BMW Technology Corporation
Chicago,All-In Analytics,"$115,000 - $150,000 a year",This role will be responsible for leveraging analytics to train and evaluate models to gain insights to identify opportunities and solve business problems.,Machine Learning Data Scientist
Chicago,Centro,,We are seeking a talented Data Scientist who can help transform the data created from these activities into actionable information....,Data Scientist
Chicago,InContext Solutions,,Are you passionate about mining insights from large amounts of data? Your work will support new business development through the contribution and evaluation of...,Data Scientist
Chicago,Gallup,,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics
Chicago,Technocraft,,Data Scientist with Neural Network and AI:. NEED LOCAL US CITIZEN OR GREEN CARD ONLY (FACE TO FACE INTERVIEW)*....,Data Scientist (USC/GC only)
Chicago,Chicago Cubs,,"Analytics, data, big data, analytical, analytic, data scientist. Intermediate to advanced programming skills enabling the individual to extract and manipulate...","Assistant Director, Advanced Analytics"
Chicago,Amyx,,"Amyx is seeking to hire a Data Scientist in Chicago, IL. Seeking a Senior Data Scientist with experience and knowledge of analytics to solve large-scale,...",Data Scientist
Chicago,Orbitz,,"SEM Data Scientist. Experienced dealing with big data. Experienced in data modeling, reporting and business intelligence....",SEM Data Scientist
Chicago,Workbridge Associates,"$80,000 - $110,000 a year",Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,Data Scientist
Chicago,Allstate Insurance,,"The role is responsible for assisting in the recruitment, selection, mentorship and development of junior data scientists....",Data Science Manager
Chicago,Gallup,,"Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...",Data Scientist – Predictive Analytics
